Loss,Accuracy
0.013453199528157711,0.8844419936327187
0.013206112198531628,0.891215107624439
0.013163307681679726,0.8922636445622766
0.013142693787813187,0.8927455369269719
0.013143780641257763,0.8925488683407039
0.013099640607833862,0.894137428965697
0.013095271773636341,0.8942124020731694
0.01309057604521513,0.8943971184249128
0.013091040775179863,0.8945644497082568
0.013082336634397507,0.894756772027425
Loss,Accuracy
0.01392377633601427,0.8697320526332946
0.013603629544377327,0.8788016255038953
0.013408966362476349,0.8846555040039986
0.013397950679063797,0.8847277606945335
0.013380054384469986,0.8854997663881434
0.013246648944914341,0.8893755500744298
0.013209630735218525,0.8908902241587257
0.013201411813497543,0.8908201406017406
0.013208110816776752,0.8904860213184401
0.013227132149040699,0.8897009768235307
Loss,Accuracy
0.013373307883739471,0.8876441059185293
0.013135921210050583,0.8932774113633153
0.013122244738042355,0.8937989634152966
0.013104843907058239,0.8943047602490412
0.013084357604384422,0.8944476437799485
0.013086211867630482,0.8945878108939185
0.013072309084236622,0.8948263123010225
0.013067889958620071,0.895022437603903
0.013069073669612408,0.8950881748937881
0.01307271234691143,0.8948290287179599
Loss,Accuracy
0.013073951937258244,0.8948556496039464
0.013065867125988007,0.8951685808351352
0.013065927661955357,0.8951381569654363
0.013052047230303288,0.8954190344767637
0.013060466386377811,0.8955037866852107
0.01305787917226553,0.8952153032064586
0.013045032508671284,0.8956037508285072
0.013082612305879593,0.8944085273760499
0.013120935298502445,0.8931220323144959
0.013111053965985775,0.8935908858778916
Loss,Accuracy
0.013123169541358948,0.8930812860604348
0.013109284453094006,0.8933388023861006
0.013115468434989452,0.8936213097475906
0.013098902069032192,0.8935419903730184
0.013103724457323551,0.8936370649658275
0.013121220283210278,0.8935131963534819
0.013134622015058994,0.8931785337867939
0.013119712471961975,0.8934431127964969
0.013046047650277615,0.8958063955320374
0.013040333986282349,0.8957433746590897
Loss,Accuracy
0.01303453091531992,0.8959340671280953
0.01303562056273222,0.896056849173666
0.01304189208894968,0.8959650342811818
0.013039153069257736,0.8957368552584399
0.013031854294240475,0.8960889028935273
0.013037567026913166,0.8959927417339433
0.01303871814161539,0.8962062521052231
0.013028056360781193,0.896209511805548
0.013038663193583488,0.8958444253691611
0.013030987232923508,0.8961497506329251
Loss,Accuracy
0.013022706843912601,0.8958525746199733
0.013032158836722374,0.8960144730694425
0.01303810067474842,0.8957259895906903
0.01302956324070692,0.8959193984766334
0.01304574217647314,0.895804765681875
0.013029531575739384,0.8962692729781708
0.013030002824962139,0.89601501635283
0.013035264797508717,0.8964306281442526
0.013037861324846745,0.89601501635283
0.013023361563682556,0.8962149446394229
Loss,Accuracy
0.013010256923735142,0.8964768072321885
0.013024277053773403,0.8962437386589592
0.013048557564616203,0.8958145447828496
0.013051017187535763,0.8955287777210349
0.01302967220544815,0.8960008909847554
0.013015031814575195,0.8964317147110276
0.013024580664932728,0.8964567057468517
0.013035093434154987,0.8959270044440582
0.013026636093854904,0.8960856431932024
0.013032841496169567,0.8960231656036421
Loss,Accuracy
0.013025806285440922,0.8961595297338998
0.01302298717200756,0.8965800310758097
0.013042542152106762,0.8956868731867917
0.013073955662548542,0.8951430465159237
0.013032917864620686,0.8960394641052666
0.013022172264754772,0.8962268968739474
0.01302616111934185,0.8962198341899101
0.013027174398303032,0.8963757565221171
0.013032793067395687,0.8960199059033173
0.013019432313740253,0.8963056729651321
Loss,Accuracy
0.013017736375331879,0.8962192909065226
0.013024121522903442,0.8960758640922278
0.01302455272525549,0.8960927058772397
0.013025736436247826,0.8960416372388165
0.01305469311773777,0.8955342105549097
0.013033724389970303,0.8960503297730162
0.013015088625252247,0.8965822042093596
0.01303101610392332,0.8962345028413721
0.013026650995016098,0.8963540251866179
0.013044498860836029,0.8958992969912966
Loss,Accuracy
0.013024293817579746,0.896390425173579
0.013067925348877907,0.8949414883791683
0.013026321306824684,0.8962986102810948
0.013034242205321789,0.8960552193235035
0.013037470169365406,0.8960041506850803
0.013030658476054668,0.89615301033325
0.013045338913798332,0.8958389925352862
0.013025056570768356,0.8964692012647637
0.013028264045715332,0.8963312072843437
0.013068567961454391,0.8950007062684038
Loss,Accuracy
0.01303189992904663,0.896072604391903
0.01305072195827961,0.8955418165223343
0.01302962563931942,0.8960389208218791
0.013026360422372818,0.8960606521573783
0.013014469295740128,0.8965822042093596
0.013043242506682873,0.895553768756859
0.013042843900620937,0.8958982104245217
0.01306871883571148,0.8948513033368466
0.01305311918258667,0.8951370703986613
0.013041609898209572,0.8957830343463757
