number,value,params_hidden_size,params_lr,params_num_layers,params_optimizer
2,0.30526315789473685,32,0.00015625462875085312,5,Adam
0,0.6905263157894737,32,0.0023470219056932204,5,RMSprop
63,0.6905263157894737,32,0.005317588809497706,5,RMSprop
61,0.6905263157894737,32,0.006819322814470691,5,RMSprop
58,0.6905263157894737,32,0.00899441329116112,5,Adam
57,0.6905263157894737,32,0.004166426220428724,5,RMSprop
56,0.6905263157894737,32,0.012597261719659083,5,RMSprop
55,0.6905263157894737,32,0.002239221826817799,5,SGD
54,0.6905263157894737,32,0.0035524449649609094,5,RMSprop
53,0.6905263157894737,32,0.005360606999688604,5,RMSprop
52,0.6905263157894737,32,0.0020016631430227866,5,RMSprop
49,0.6905263157894737,32,0.032126334565691105,5,RMSprop
48,0.6905263157894737,32,0.008025709901706507,5,SGD
47,0.6905263157894737,32,0.003959658565157101,5,Adam
97,0.6905263157894737,32,0.00489780257818351,5,Adam
45,0.6905263157894737,32,0.01675042448040138,5,SGD
65,0.6905263157894737,32,0.009774085020679876,5,RMSprop
68,0.6905263157894737,32,0.0034675689546327937,5,RMSprop
70,0.6905263157894737,32,0.0024801655403170896,5,RMSprop
72,0.6905263157894737,32,0.004492092428447041,5,RMSprop
96,0.6905263157894737,32,0.002499913603263124,5,RMSprop
95,0.6905263157894737,32,0.007552048374380882,5,RMSprop
93,0.6905263157894737,32,0.0038289077104257763,5,RMSprop
91,0.6905263157894737,32,0.0036133377519640105,5,RMSprop
90,0.6905263157894737,32,0.002302095045082159,5,RMSprop
89,0.6905263157894737,32,0.004550948677239451,5,RMSprop
44,0.6905263157894737,32,0.006294822410147558,5,RMSprop
88,0.6905263157894737,32,0.0059188374670647425,5,RMSprop
86,0.6905263157894737,32,0.0035502905847805536,5,RMSprop
84,0.6905263157894737,32,0.0029125949470560817,5,RMSprop
82,0.6905263157894737,32,0.0068734637818652685,5,RMSprop
81,0.6905263157894737,32,0.00505515824481669,5,RMSprop
76,0.6905263157894737,32,0.0019123258740329043,5,RMSprop
75,0.6905263157894737,32,0.0058825722174394674,5,RMSprop
87,0.6905263157894737,32,0.001798429290673274,5,RMSprop
43,0.6905263157894737,32,0.002653599504075909,5,RMSprop
46,0.6905263157894737,32,0.022267102412188343,5,RMSprop
41,0.6905263157894737,32,0.012865602066422129,5,SGD
21,0.6905263157894737,32,0.01431026481962145,5,RMSprop
19,0.6905263157894737,32,0.016261912631768377,5,Adam
18,0.6905263157894737,32,0.0031608431085396985,5,SGD
17,0.6905263157894737,32,0.010073925602453059,5,RMSprop
16,0.6905263157894737,32,0.0009372342326275114,5,RMSprop
14,0.6905263157894737,32,0.0021517435682471726,5,Adam
13,0.6905263157894737,32,0.08567393232999636,5,RMSprop
12,0.6905263157894737,32,0.009384961552124541,5,SGD
11,0.6905263157894737,32,0.007031430557575994,5,RMSprop
10,0.6905263157894737,32,0.002099054377759773,5,RMSprop
8,0.6905263157894737,32,0.04272224909888558,5,SGD
6,0.6905263157894737,32,0.005852293595014272,5,SGD
4,0.6905263157894737,32,0.025830592155277367,5,SGD
3,0.6905263157894737,32,0.018089501380423652,5,RMSprop
1,0.6905263157894737,32,0.01044093117058458,5,SGD
22,0.6905263157894737,32,0.024569005599338736,5,RMSprop
42,0.6905263157894737,32,0.00796941024868986,5,SGD
99,0.6905263157894737,32,0.0030227330950016425,5,RMSprop
32,0.6905263157894737,32,0.011058642712763467,5,RMSprop
40,0.6905263157894737,32,0.0013494552960088058,5,Adam
39,0.6905263157894737,32,0.00612938577090014,5,RMSprop
25,0.6905263157894737,32,0.00511795086343537,5,RMSprop
38,0.6905263157894737,32,0.004134872525273896,5,RMSprop
37,0.6905263157894737,32,0.0016427869488129705,5,RMSprop
26,0.6905263157894737,32,0.003425309109170774,5,RMSprop
28,0.6905263157894737,32,0.006377255574199882,5,RMSprop
29,0.6905263157894737,32,0.0030469127303819382,5,RMSprop
36,0.6905263157894737,32,0.002599076951943205,5,RMSprop
30,0.6905263157894737,32,0.00771541881968982,5,RMSprop
31,0.6905263157894737,32,0.004538031815004733,5,Adam
35,0.6905263157894737,32,0.005102225548909218,5,RMSprop
33,0.6905263157894737,32,0.010104385602665914,5,SGD
85,0.7389473684210527,32,0.0014092753610913996,5,Adam
66,0.8210526315789474,32,0.0034254027565423346,5,RMSprop
50,0.8231578947368421,32,0.002324521190748604,5,RMSprop
24,0.8231578947368421,32,0.004112586450093782,5,RMSprop
62,0.8231578947368421,32,0.005162452840337054,5,RMSprop
94,0.8231578947368421,32,0.003325985198368778,5,RMSprop
67,0.8231578947368421,32,0.003510359787436548,5,RMSprop
34,0.8231578947368421,32,0.0050153605513631435,5,RMSprop
23,0.8442105263157895,32,0.00621139663853044,5,RMSprop
79,0.8463157894736842,32,0.0015019127976149526,5,RMSprop
71,0.8463157894736842,32,0.002997641492533305,5,RMSprop
69,0.8463157894736842,32,0.0024495168348176374,5,RMSprop
